"benchmark","L1 miss ratio","L2 miss ratio","TLB miss ratio"
"_65536",0.124722912244784,0.3127317598781,0.000963699299537094
"_65536",0.124722543485877,0.219864256934941,0.000615064321878423
"_65536",0.12472240450645,0.127234694579215,0.000302971342706227
"_65536",0.124722786572833,0.0551917737794603,0.000115776838552968
"_65536",0.124723490881285,0.0262050721809219,0.0000608278564055917
"_65536",0.124725106779292,0.0176104885087917,0.0000262037724302909
"_65536",0.124731276913214,0.00759971547849677,0.0000144470013398535
"_1",0.0171195295683562,0.919689245753188,0.0158846408730282
"_1",0.00611427739105531,0.893307190167619,0.00548017939373421
"_1",0.00587485565716141,0.820353857277011,0.00471735676431072
"_1",0.00421334502058017,0.705455604075691,0.00281751051207408
"_1",0.00264617343002053,0.656804733727811,0.00163337475593767
"_1",0.00148462063955449,0.63233454066513,0.000885505327750188
"_1",0.000650555507260517,0.63351226993865,0.000373813447498211
"_1",0.000333112357971225,0.661419618131468,0.00018767725518568
"_1",0.000175374949669116,0.703311995546897,0.0000960985659508968
"_1",0.0000917239966734496,0.820276497695853,0.0000391884252745975
"_4",0.0245836780372722,0.830597878306567,0.0152957852041089
"_4",0.00899506676708674,0.820906386325555,0.00544035105721814
"_4",0.00861333777428784,0.749945418450087,0.00466576169308809
"_4",0.00611998369334187,0.61708013625572,0.00280466773247397
"_4",0.00388361435455755,0.549285287300871,0.00161668786357442
"_4",0.00222326420331104,0.508508597413671,0.000863992125876738
"_4",0.000954330099731127,0.48435129740519,0.000365608654645852
"_4",0.000490790784290453,0.479291739493883,0.000191764332095727
"_4",0.000256602852882179,0.505454009433962,0.0000960319678240986
"_4",0.00011516032374557,0.543963712491277,0.0000386334762179869
"_16",0.0397057820460281,0.72293841107794,0.0129167315943257
"_16",0.0162531824369914,0.710975712599089,0.00516867843747612
"_16",0.0155346758689729,0.661523830810123,0.00443771361130204
"_16",0.0111071656362214,0.581354963373491,0.00265131403477564
"_16",0.00705052815308666,0.543120210171135,0.00155108910751636
"_16",0.00404967836763488,0.514456069299134,0.000821112122643504
"_16",0.00174985261211468,0.504649696587595,0.000348650765829441
"_16",0.000907209854573826,0.501434034416826,0.000173413245074008
"_16",0.000456043165441551,0.510486863027183,0.0000895232758705051
"_16",0.000209061514026062,0.525779145825317,0.0000411494921927124
"_64",0.0721175302248722,0.538848900997213,0.00879617504922811
"_64",0.0377444544880884,0.534676033137474,0.00453031124958381
"_64",0.0359968155036238,0.505179544285908,0.00388693539771955
"_64",0.0253433199442601,0.453634638632,0.00232361894837683
"_64",0.0160317416217539,0.427963941504031,0.00136720406243315
"_64",0.00922468921992399,0.409063212781675,0.000737217230367426
