"rank","name","step","value"
0,"resident shared pages",15,814
0,"Page faults (minor)",15,4746
0,"Page faults (major)",15,24
0,"Pages swapped (not maintained)",15,0
0,"GPU: Device 0 Utilization %",15,0
0,"GPU: Device 0 Memory Utilization %",15,0
0,"GPU: Device 0 Memory Free (GB)",15,16.9428
0,"GPU: Device 0 Memory Used (GB)",15,0.00275251
0,"GPU: Device 0 Clock Memory (MHz)",15,877
0,"cpu: User %",15,3.42633
0,"cpu: Nice %",15,0
0,"cpu: System %",15,0.0340928
0,"cpu: Idle %",15,96.5396
0,"cpu: I/O Wait %",15,0
0,"cpu: IRQ %",15,0
0,"cpu: soft IRQ %",15,0
0,"cpu: Steal %",15,0
0,"cpu: Guest %",15,0
0,"meminfo:MemTotal (MB)",15,630978
0,"meminfo:MemFree (MB)",15,556466
0,"meminfo:MemAvailable (MB)",15,588240
0,"program size (pages)",16,79771
0,"resident set size (pages)",16,2658
0,"resident shared pages",16,814
0,"Page faults (minor)",16,4746
0,"Page faults (major)",16,24
0,"Pages swapped (not maintained)",16,0
0,"GPU: Device 0 Utilization %",16,0
0,"GPU: Device 0 Memory Utilization %",16,0
0,"GPU: Device 0 Memory Free (GB)",16,16.9428
0,"GPU: Device 0 Memory Used (GB)",16,0.00275251
0,"GPU: Device 0 Clock Memory (MHz)",16,877
0,"cpu: User %",16,3.44004
0,"cpu: Nice %",16,0
0,"cpu: System %",16,0.00568602
0,"cpu: Idle %",16,96.5543
0,"cpu: I/O Wait %",16,0
0,"cpu: IRQ %",16,0
0,"cpu: soft IRQ %",16,0
0,"cpu: Steal %",16,0
0,"cpu: Guest %",16,0
0,"meminfo:MemTotal (MB)",16,630978
0,"meminfo:MemFree (MB)",16,556466
0,"meminfo:MemAvailable (MB)",16,588240
0,"program size (pages)",17,79771
0,"resident set size (pages)",17,2658
0,"resident shared pages",17,814
0,"Page faults (minor)",17,4746
0,"Page faults (major)",17,24
0,"Pages swapped (not maintained)",17,0
0,"GPU: Device 0 Utilization %",17,0
0,"GPU: Device 0 Memory Utilization %",17,0
0,"GPU: Device 0 Memory Free (GB)",17,16.9428
0,"GPU: Device 0 Memory Used (GB)",17,0.00275251
0,"GPU: Device 0 Clock Memory (MHz)",17,877
0,"cpu: User %",17,3.44043
0,"cpu: Nice %",17,0
0,"cpu: System %",17,0.00568666
0,"cpu: Idle %",17,96.5539
0,"cpu: I/O Wait %",17,0
0,"cpu: IRQ %",17,0
0,"cpu: soft IRQ %",17,0
0,"cpu: Steal %",17,0
0,"cpu: Guest %",17,0
0,"meminfo:MemTotal (MB)",17,630978
0,"meminfo:MemFree (MB)",17,556466
0,"meminfo:MemAvailable (MB)",17,588240
0,"program size (pages)",18,79771
0,"resident set size (pages)",18,2658
0,"resident shared pages",18,814
0,"Page faults (minor)",18,4746
0,"Page faults (major)",18,24
0,"Pages swapped (not maintained)",18,0
0,"GPU: Device 0 Utilization %",18,0
0,"GPU: Device 0 Memory Utilization %",18,0
0,"GPU: Device 0 Memory Free (GB)",18,16.9428
0,"GPU: Device 0 Memory Used (GB)",18,0.00275251
0,"GPU: Device 0 Clock Memory (MHz)",18,877
0,"cpu: User %",18,3.41361
0,"cpu: Nice %",18,0
0,"cpu: System %",18,0.00567988
0,"cpu: Idle %",18,96.5807
0,"cpu: I/O Wait %",18,0
0,"cpu: IRQ %",18,0
0,"cpu: soft IRQ %",18,0
0,"cpu: Steal %",18,0
0,"cpu: Guest %",18,0
0,"meminfo:MemTotal (MB)",18,630978
0,"meminfo:MemFree (MB)",18,556466
0,"meminfo:MemAvailable (MB)",18,588240
0,"program size (pages)",19,79771
0,"resident set size (pages)",19,2658
0,"resident shared pages",19,814
0,"Page faults (minor)",19,4746
0,"Page faults (major)",19,24
0,"Pages swapped (not maintained)",19,0
0,"GPU: Device 0 Utilization %",19,0
0,"GPU: Device 0 Memory Utilization %",19,0
0,"GPU: Device 0 Memory Free (GB)",19,16.9428
0,"GPU: Device 0 Memory Used (GB)",19,0.00275251
0,"GPU: Device 0 Clock Memory (MHz)",19,877
0,"cpu: User %",19,3.4171
0,"cpu: Nice %",19,0
0,"cpu: System %",19,0.0227428
0,"cpu: Idle %",19,96.5602
0,"cpu: I/O Wait %",19,0
0,"cpu: IRQ %",19,0
0,"cpu: soft IRQ %",19,0
0,"cpu: Steal %",19,0
0,"cpu: Guest %",19,0
0,"meminfo:MemTotal (MB)",19,630978
0,"meminfo:MemFree (MB)",19,556466
0,"meminfo:MemAvailable (MB)",19,588240
0,"program size (pages)",20,79771
0,"resident set size (pages)",20,2658
0,"resident shared pages",20,814
0,"Page faults (minor)",20,4746
0,"Page faults (major)",20,24
0,"Pages swapped (not maintained)",20,0
0,"GPU: Device 0 Utilization %",20,0
0,"GPU: Device 0 Memory Utilization %",20,0
0,"GPU: Device 0 Memory Free (GB)",20,16.9428
0,"GPU: Device 0 Memory Used (GB)",20,0.00275251
0,"GPU: Device 0 Clock Memory (MHz)",20,877
0,"cpu: User %",20,3.40761
0,"cpu: Nice %",20,0
0,"cpu: System %",20,0.0056699
0,"cpu: Idle %",20,96.5867
0,"cpu: I/O Wait %",20,0
0,"cpu: IRQ %",20,0
0,"cpu: soft IRQ %",20,0
0,"cpu: Steal %",20,0
0,"cpu: Guest %",20,0
0,"meminfo:MemTotal (MB)",20,630978
0,"meminfo:MemFree (MB)",20,556466
0,"meminfo:MemAvailable (MB)",20,588240
0,"program size (pages)",21,79771
0,"resident set size (pages)",21,2658
0,"resident shared pages",21,814
0,"Page faults (minor)",21,4746
0,"Page faults (major)",21,24
0,"Pages swapped (not maintained)",21,0
0,"GPU: Device 0 Utilization %",21,0
0,"GPU: Device 0 Memory Utilization %",21,0
0,"GPU: Device 0 Memory Free (GB)",21,16.9428
0,"GPU: Device 0 Memory Used (GB)",21,0.00275251
0,"GPU: Device 0 Clock Memory (MHz)",21,877
0,"cpu: User %",21,3.44259
0,"cpu: Nice %",21,0
0,"cpu: System %",21,0.00569022
0,"cpu: Idle %",21,96.5517
0,"cpu: I/O Wait %",21,0
0,"cpu: IRQ %",21,0
0,"cpu: soft IRQ %",21,0
0,"cpu: Steal %",21,0
0,"cpu: Guest %",21,0
0,"meminfo:MemTotal (MB)",21,630978
0,"meminfo:MemFree (MB)",21,556466
0,"meminfo:MemAvailable (MB)",21,588240
0,"program size (pages)",22,79771
0,"resident set size (pages)",22,2658
0,"resident shared pages",22,814
0,"Page faults (minor)",22,4747
0,"Page faults (major)",22,24
0,"Pages swapped (not maintained)",22,0
0,"GPU: Device 0 Utilization %",22,0
0,"GPU: Device 0 Memory Utilization %",22,0
0,"GPU: Device 0 Memory Free (GB)",22,16.9428
0,"GPU: Device 0 Memory Used (GB)",22,0.00275251
0,"GPU: Device 0 Clock Memory (MHz)",22,877
0,"cpu: User %",22,3.41929
0,"cpu: Nice %",22,0
0,"cpu: System %",22,0.0170396
0,"cpu: Idle %",22,96.558
